index	card	atk	def	level	race	attribute	type	spell/trap type	description	rating
1275	Breaker the Magical Warrior	1600	1000	4	Spellcaster	DARK	Effect	None	When this card is Normal Summoned, put 1 Spell Counter on it (max. 1). Increase the ATK of this card by 300 points for each Spell Counter on this card. By removing 1 Spell Counter from this card, destroy 1 Spell or Trap Card on the field.	20
793	Call of the Haunted	0	0	0	Trap	Trap	Trap	Continuous	Select 1 monster from your Graveyard and Special Summon it in face-up Attack Position. When this card is removed from the field, destroy the monster. When the monster is destroyed, destroy this card.	20
1880	Cyber Dragon	2100	1600	5	Machine	LIGHT	Effect	None	If there is a monster on your opponent's side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand.	20
1327	D.D. Warrior Lady	1500	1600	4	Warrior	LIGHT	Effect	None	When this card battles with your opponent's monster, after damage calculation you can remove from play the opponent's monster and this card.	20
298	Dark Hole	0	0	0	Spell	Spell	Spell	None	Destroy all monsters on the field.	20
1019	Exiled Force	1000	1000	4	Warrior	EARTH	Effect	None	By Tributing this face-up card, destroy 1 monster on the field.	20
709	Heavy Storm	0	0	0	Spell	Spell	Spell	None	Destroy all Spell and Trap Cards on the field.	20
724	Mystical Space Typhoon	0	0	0	Spell	Spell	Spell	Quick-Play	Destroy 1 Spell or Trap Card on the field.	20
770	Nobleman of Crossout	0	0	0	Spell	Spell	Spell	None	Destroy 1 face-down monster and remove it from play. If the monster is a Flip Effect Monster, both players must check their respective Decks and remove from play all monsters with the same name as the destroyed monster. Then shuffle the Decks.	20
773	Premature Burial	0	0	0	Spell	Spell	Spell	Equip	Pay 800 Life Points. Select 1 monster from your Graveyard, Special Summon it on the field in face-up Attack Position, and equip it with this card. When this card is destroyed, destroy the equipped monster.	20
53	Sangan	1000	600	3	Fiend	DARK	Effect	None	When this card is sent from the field to the Graveyard, select 1 monster with an ATK of 1500 or less from your Deck, show it to your opponent, and add it to your hand. Then shuffle your Deck.	20
714	Snatch Steal	0	0	0	Spell	Spell	Spell	Equip	Take control of a monster on your opponent's side of the field that is equipped with this card. Increase your opponent's Life Points by 1000 points during each of their Standby Phases.	20
871	Torrential Tribute	0	0	0	Trap	Trap	Trap	None	You can only activate this card when a monster is Normal Summoned, Flip Summoned or Special Summoned. Destroy all monsters on the field.	20
1117	Book of Moon	0	0	0	Spell	Spell	Spell	Quick-Play	Flip 1 face-up monster on the field into face-down Defense Position.	19
366	Magician of Faith	300	400	1	Spellcaster	LIGHT	Effect	None	FLIP: Select 1 Spell Card from your Graveyard. Add the selected card to your hand.	19
1647	Mobius the Frost Monarch	2400	1000	6	Aqua	WATER	Effect	None	When this card is Tribute Summoned successfully, you can destroy up to 2 Spell or Trap Cards on the field.	19
1024	Reinforcement of the Army	0	0	0	Spell	Spell	Spell	None	Add 1 Level 4 or lower Warrior-Type monster from your Deck to your hand. Then shuffle your Deck.	19
1394	Sakuretsu Armor	0	0	0	Trap	Trap	Trap	None	You can only activate this card when your opponent declares an attack. Destroy the attacking monster.	19
1481	Smashing Ground	0	0	0	Spell	Spell	Spell	None	Destroy 1 monster with the highest DEF on your opponent's side of the field.	19
1178	Spirit Reaper	300	200	3	Zombie	DARK	Effect	None	This card is not destroyed as a result of battle. Destroy this card when it is designated as a target of the effect of a Spell, Trap, or Effect Monster. If this card successfully attacks your opponent's Life Points directly, your opponent discards 1 card randomly from his/her hand.	19
1503	D. D. Assailant	1700	1600	4	Warrior	EARTH	Effect	None	When this card is destroyed as a result of battle with your opponent's monster, remove from play both this card and the opponent's monster that destroyed this card.	18
743	Mystic Tomato	1400	1100	4	Plant	DARK	Effect	None	When this card is sent to the Graveyard as a result of battle, you can Special Summon 1 DARK monster with an ATK of 1500 or less in face-up Attack Position from your Deck. Then shuffle your Deck.	18
1528	Zaborg the Thunder Monarch	2400	1000	5	Thunder	LIGHT	Effect	None	When this card is Tribute Summoned, destroy 1 monster on the field.	18
647	Brain Control	0	0	0	Spell	Spell	Spell	None	Pay 800 Life Points. Select 1 face-up monster on your opponent's side of the field. Take control of the selected card until the End Phase of the turn this card is activated.	17
1419	Chaos Sorcerer	2300	2000	6	Spellcaster	DARK	Effect	None	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 LIGHT and 1 DARK monster in your Graveyard. Once per turn during your Main Phase, you can remove 1 face-up monster on the field from play. If you activate this effect, this card cannot attack during this turn.	17
910	Creature Swap	0	0	0	Spell	Spell	Spell	None	Both players select 1 monster from their respective sides of the field and switch control of those monsters with each other. The selected monsters cannot change their battle positions this turn.	17
792	Dust Tornado	0	0	0	Trap	Trap	Trap	None	Destroy 1 Spell or Trap Card on your opponent's side of the field. You can then Set 1 Spell or Trap Card from your hand.	17
1160	Enemy Controller	0	0	0	Spell	Spell	Spell	Quick-Play	Select and activate 1 of the following effects: @4 @7Change the battle position of 1 face-up monster on your opponent's side of the field. @4 @7Tribute 1 monster on your side of the field. Select 1 face-up monster on your opponent's side of the field. Take control of the selected card until the End Phase of the turn this card is activated.	17
