card	artwork	edited artwork	atk	def	level	race	attribute	type	spell/trap type
0	0	None	0	0	0	None	None	None	None
Blue-Eyes White Dragon	0	No	3000	2500	8	Dragon	LIGHT	None	None
Blue-Eyes White Dragon	1	No	3000	2500	8	Dragon	LIGHT	None	None
Blue-Eyes White Dragon	2	No	3000	2500	8	Dragon	LIGHT	None	None
Blue-Eyes White Dragon	3	No	3000	2500	8	Dragon	LIGHT	None	None
Mystical Elf	0	No	800	2000	4	Spellcaster	LIGHT	None	None
Hitotsu-Me Giant	0	No	1200	1000	4	Beast-Warrior	EARTH	None	None
Baby Dragon	0	No	1200	700	3	Dragon	WIND	None	None
Ryu-Kishin	0	No	1000	500	3	Fiend	DARK	None	None
Feral Imp	0	No	1300	1400	4	Fiend	DARK	None	None
Winged Dragon, Guardian of the Fortress	0	No	1400	1200	4	Dragon	WIND	None	None
Mushroom Man	0	No	800	600	2	Plant	EARTH	None	None
Blackland Fire Dragon	0	No	1500	800	4	Dragon	DARK	None	None
Tyhone	0	No	1200	1400	4	Winged Beast	WIND	None	None
Flame Swordsman	0	No	1800	1600	5	Warrior	FIRE	Fusion	None
Flame Swordsman	1	No	1800	1600	5	Warrior	FIRE	Fusion	None
Time Wizard	0	No	500	400	2	Spellcaster	LIGHT	Effect	None
Right Leg of the Forbidden One	0	Yes	200	300	1	Spellcaster	DARK	None	None
Left Leg of the Forbidden One	0	Yes	200	300	1	Spellcaster	DARK	None	None
Right Arm of the Forbidden One	0	Yes	200	300	1	Spellcaster	DARK	None	None
Left Arm of the Forbidden One	0	Yes	200	300	1	Spellcaster	DARK	None	None
Exodia the Forbidden One	0	Yes	1000	1000	3	Spellcaster	DARK	Effect	None
Summoned Skull	0	No	2500	1200	6	Fiend	DARK	None	None
Summoned Skull	1	No	2500	1200	6	Fiend	DARK	None	None
Summoned Skull	2	No	2500	1200	6	Fiend	DARK	None	None
The Wicked Worm Beast	0	No	1400	700	3	Beast	EARTH	Effect	None
Skull Servant	0	No	300	200	1	Zombie	DARK	None	None
Horn Imp	0	No	1300	1000	4	Fiend	DARK	None	None
Battle Ox	0	No	1700	1000	4	Beast-Warrior	EARTH	None	None
Beaver Warrior	0	No	1200	1500	4	Beast-Warrior	EARTH	None	None
Rock Ogre Grotto	0	No	800	1200	3	Rock	EARTH	None	None
